Team_ID,Emp_ID,Emp_Name,EmailID,Test_Score,Presentation,Project,Assignment,Overall_Rating,Assessment_Date,Overall_Feedback
T01,119732,D'arcy Croose,dcroose0@geocities.jp,80,8,80,80,9,9/27/2024,good
T02,600623,Gregory Sussems,gsussems1@networkadvertising.org,80,8,80,80,9,11/30/2023,good
"T03	",639295,Alexandros Earwaker,aearwaker2@twitpic.com,80,8,80,80,9,3/23/2024,good
"T04	",593583,Dari MacTrustram,dmactrustram3@symantec.com,80,8,80,80,9,2/13/2024,good
"T05	",111374,Wang Brunsen,wbrunsen4@godaddy.com,80,8,80,80,9,12/30/2023,good
"T06	",793929,Ruthanne Butfield,rbutfield5@networksolutions.com,80,8,80,80,9,6/24/2024,good
"T07	",368406,Alyssa Edwinson,aedwinson6@mit.edu,80,8,80,80,9,9/19/2024,good
"T08	",436411,Killie Carluccio,kcarluccio7@shareasale.com,80,8,80,80,9,6/24/2024,good
"T09	",394322,Caralie Markwick,cmarkwick8@msu.edu,80,8,80,80,9,8/29/2024,good
"T10	",282190,Andrey O'Regan,aoregan9@umn.edu,80,8,80,80,9,6/13/2024,good
"T11	",474854,Suzanne Bechley,sbechleya@yelp.com,80,8,80,80,9,5/30/2024,good
"T12	",971914,Rosene St. Queintain,rstb@sun.com,80,8,80,80,9,6/13/2024,good
"T13	",589774,Byron Shinner,bshinnerc@github.io,80,8,80,80,9,11/16/2023,good
"T14	",102554,Alisa Kempson,akempsond@cornell.edu,80,8,80,80,9,11/27/2023,good
"T15	",447410,Carita McClary,cmcclarye@ow.ly,80,8,80,80,9,9/21/2024,good
"T16	",235052,Rubia Veitch,rveitchf@cnet.com,80,8,80,80,9,6/24/2024,good
"T17	",607791,Martelle Yoxen,myoxeng@liveinternet.ru,80,8,80,80,9,6/24/2024,good
"T18	",243907,Chery Cundey,ccundeyh@illinois.edu,80,8,80,80,9,2/22/2024,good
"T19	",274261,Fields Gingel,fgingeli@chronoengine.com,80,8,80,80,9,6/24/2024,good
"T20	",378954,Terrance Carlyon,tcarlyonj@whitehouse.gov,80,8,80,80,9,8/27/2024,good
"T21	",951625,Marylin Cray,mcrayk@alibaba.com,80,8,80,80,9,6/24/2024,good
"T22	",543839,Annabal Brettell,abrettelll@jugem.jp,80,8,80,80,9,1/28/2024,good
"T23	",923043,Robinia Kenrack,rkenrackm@sfgate.com,80,8,80,80,9,12/23/2023,good
"T24	",666748,Ilyssa Gilfillan,igilfillann@icio.us,80,8,80,80,9,3/29/2024,good
"T25	",546259,Jorrie Simmins,jsimminso@nytimes.com,80,8,80,80,9,2/28/2024,good
"T26	",466457,Richard Prendeguest,rprendeguestp@accuweather.com,80,8,80,80,9,12/31/2023,good
"T27	",949224,Chrisy Egglestone,cegglestoneq@google.co.uk,80,8,80,80,9,6/24/2024,good
"T28	",526019,Lavinia Legen,llegenr@house.gov,80,8,80,80,9,7/13/2024,good
"T29	",915028,Andros Biggen,abiggens@uol.com.br,80,8,80,80,9,6/24/2024,good
"T30	",940640,Guido Fridd,gfriddt@cnet.com,80,8,80,80,9,6/24/2024,good
"T31	",958799,Thalia Blanchard,tblanchardu@gov.uk,80,8,80,80,9,4/16/2024,good
"T32	",717418,Ryon Trubshaw,rtrubshawv@topsy.com,80,8,80,80,9,1/20/2024,good
"T33	",334762,Daffi Husselbee,dhusselbeew@mtv.com,80,8,80,80,9,6/24/2024,good
"T34	",647163,Stanford Roberto,srobertox@prlog.org,80,8,80,80,9,6/24/2024,good
"T35	",653207,Gabriellia Tremblot,gtrembloty@parallels.com,80,8,80,80,9,12/19/2023,good
"T36	",606509,Anselma Mompesson,amompessonz@multiply.com,80,8,80,80,9,6/24/2024,good
"T37	",895552,Rosabel Osment,rosment10@ibm.com,80,8,80,80,9,6/24/2024,good
"T38	",761657,Kelcy Cremen,kcremen11@mail.ru,80,8,80,80,9,6/24/2024,good
"T39	",160260,Aveline Cringle,acringle12@multiply.com,80,8,80,80,9,4/24/2024,good
"T40	",939995,Benedicta Pepys,bpepys13@cafepress.com,80,8,80,80,9,2/29/2024,good
"T41	",638143,Kendra Eathorne,keathorne14@meetup.com,80,8,80,80,9,1/16/2024,good
"T42	",263423,Cindy Poltone,cpoltone15@artisteer.com,80,8,80,80,9,5/30/2024,good
"T43	",291064,Benyamin Quittonden,bquittonden16@cbsnews.com,80,8,80,80,9,2/21/2024,good
"T44	",645219,Gibb Stanion,gstanion17@yahoo.com,80,8,80,80,9,10/31/2024,good
"T45	",920052,Keri McKue,kmckue18@netvibes.com,80,8,80,80,9,2/21/2024,good
"T46	",735390,Gorden Lehrahan,glehrahan19@usda.gov,80,8,80,80,9,6/24/2024,good
"T47	",891715,Alex Castanaga,acastanaga1a@comsenz.com,80,8,80,80,9,6/24/2024,good
"T48	",158450,Skippy Redmain,sredmain1b@ucoz.com,80,8,80,80,9,11/24/2023,good
"T49	",217747,Emmery Rooze,erooze1c@meetup.com,80,8,80,80,9,5/28/2024,good
"T50	",251579,Maurita Causby,mcausby1d@altervista.org,80,8,80,80,9,5/27/2024,good
T01,258853,Rodrick Stannis,rstannis1e@cbc.ca,80,8,80,80,9,9/27/2024,good
T02,148313,Erick Aggs,eaggs1f@macromedia.com,80,8,80,80,9,11/30/2023,good
"T03	",819352,Hilary Veare,hveare1g@soup.io,80,8,80,80,9,3/23/2024,good
"T04	",539228,Charo Vannikov,cvannikov1h@independent.co.uk,80,8,80,80,9,2/13/2024,good
"T05	",770818,Lyndsey Lewsam,llewsam1i@oracle.com,80,8,80,80,9,12/30/2023,good
"T06	",982759,Darci Lilie,dlilie1j@gnu.org,80,8,80,80,9,6/24/2024,good
"T07	",648404,Thomas Turnpenny,tturnpenny1k@indiegogo.com,80,8,80,80,9,9/19/2024,good
"T08	",603390,Karl Ferri,kferri1l@biblegateway.com,80,8,80,80,9,6/24/2024,good
"T09	",848030,Dyane Gurg,dgurg1m@washingtonpost.com,80,8,80,80,9,8/29/2024,good
"T10	",171833,Georgie Kiltie,gkiltie1n@whitehouse.gov,80,8,80,80,9,6/13/2024,good
"T11	",977184,Maximilian Frensche,mfrensche1o@360.cn,80,8,80,80,9,5/30/2024,good
"T12	",495065,Vance Kolak,vkolak1p@nationalgeographic.com,80,8,80,80,9,6/13/2024,good
"T13	",390527,Steffie Blachford,sblachford1q@deviantart.com,80,8,80,80,9,11/16/2023,good
"T14	",747510,Sosanna Childe,schilde1r@earthlink.net,80,8,80,80,9,11/27/2023,good
"T15	",476678,Gregoire Maffiotti,gmaffiotti1s@blog.com,80,8,80,80,9,9/21/2024,good
"T16	",183622,Prentiss Durie,pdurie1t@arizona.edu,80,8,80,80,9,6/24/2024,good
"T17	",819967,Harlan Klimpke,hklimpke1u@w3.org,80,8,80,80,9,6/24/2024,good
"T18	",687002,Tedda Weald,tweald1v@psu.edu,80,8,80,80,9,2/22/2024,good
"T19	",236502,Rourke Fowlie,rfowlie1w@bbc.co.uk,80,8,80,80,9,6/24/2024,good
"T20	",246703,Chris McClory,cmcclory1x@so-net.ne.jp,80,8,80,80,9,8/27/2024,good
"T21	",756507,Ferdinande Sidworth,fsidworth1y@ning.com,80,8,80,80,9,6/24/2024,good
"T22	",376986,Dania Strangward,dstrangward1z@wiley.com,80,8,80,80,9,1/28/2024,good
"T23	",406769,Jacquelyn Gabb,jgabb20@amazon.de,80,8,80,80,9,12/23/2023,good
"T24	",769243,Noel Nannoni,nnannoni21@businessinsider.com,80,8,80,80,9,3/29/2024,good
"T25	",424566,Valida Folliss,vfolliss22@rambler.ru,80,8,80,80,9,2/28/2024,good
"T26	",170099,Leroi Bareham,lbareham23@intel.com,80,8,80,80,9,12/31/2023,good
"T27	",528747,Shurlocke Footer,sfooter24@intel.com,80,8,80,80,9,6/24/2024,good
"T28	",800290,Lew Clemensen,lclemensen25@cdc.gov,80,8,80,80,9,7/13/2024,good
"T29	",140582,Nola Paulin,npaulin26@npr.org,80,8,80,80,9,6/24/2024,good
"T30	",780831,Leigh Bridgen,lbridgen27@marriott.com,80,8,80,80,9,6/24/2024,good
"T31	",169430,Carleton Dugmore,cdugmore28@usatoday.com,80,8,80,80,9,4/16/2024,good
"T32	",787076,Maible Breeze,mbreeze29@canalblog.com,80,8,80,80,9,1/20/2024,good
"T33	",294346,Suki Bullivent,sbullivent2a@domainmarket.com,80,8,80,80,9,6/24/2024,good
